,Type,FullDish,Description
74,Meat Entrees,Lamb Choila at Himalayan Spice,"The Nepali lamb choila at Himalayan Spice calls to mind the cuisines of nearby China, India, and even Thailand with hard-to-place but pleasing flavors. Tender, spice-laden (asafetida, anyone?) chunks of lamb are grilled and then tossed with fresh red onion, garlic, and cilantro. A sprinkle of lemon juice provides tingly acidity, while toasted cumin notes keep things down to earth. The staff suggests trying it with beer. Who are we to disagree?"
75,Meat Entrees,"Mixed Grilled Kabob Plate at The Jerusalem Bakery And Grill, Marietta","Why settle for one dish when you can try three? The Mixed Grill Plate offers three chicken kabobs, three skewers of shish kabob, and three kofta kabobs with onions and tomatoes, grilled to perfection, with savory spices from the Middle East that treat your taste buds. Rounded out with sides of hummus, baba ganoush, and fresh-made pita bread ? the best outside of Jerusalem's Old City ? and you've got a meal for at least two, though we predict you'll ask for extra servings of the pita bread."
76,Meat Entrees,Pabellon Arepa at Arepa Mia,"Inside the bustling Sweet Auburn Curb Market, diners line up for a taste of Venezuelan street food at Arepa Mia. The pabellon arepa is particularly worth the wait. A crispy cornmeal patty is packed with savory shredded beef and fried sweet plantains, and topped with Venezuelan white cheese, organic black beans, and cilantro sauce. It arrives hot off the grill in minutes. The caramelized banana sweetness underscores the savoriness of the beef and balances the tanginess of the cheese in a way that transcends the realm of street food fare. Eat fast and tear off some extra paper towels from the communal table's rack to keep the delicious mess from falling apart."
77,Meat Entrees,Peking Duck at Royal China,"There's plenty of Peking duck out there, but Royal China's is a show-stopper. Seriously, heads turn when this glistening guy travels through the dining room. If you go with the three-course Peking duck dinner, a server will carve the roast duck tableside. Next come the pillowy, white steamed buns in which you stuff slices of this beautiful, crispy-skinned bird. Dress it all up with plum sauce, shreds of green onion, and batons of cucumber for a picturesque, crispy duck-skin sandwich."
78,Meat Entrees,Pork And Green Chile Burrito at Bell Street Burritos,"Atlanta's signature burrito is surely the pork and green chile at Bell Street Burritos, an homage to the well-remembered 1980s Atlanta joint Tortillas. It's a classic sum-is-greater-than-its-parts combination of slow-roasted pork, Anaheim green chiles, and heavenly slow-cooked pinto beans. Maybe it's the fact that those ingredients cozy up so nice, swaddled tightly in a flour tortilla, but something about this humble mix of browns and green feels like comfort and home. There are red and green salsas served on the side, but no extra sauce is needed for this bundle of joy."
79,Meat Entrees,Pork Ribs at Fox Bros. Bar-B-Q,"Since making the switch from baby back ribs to the fatty and arguably more flavorful St. Louis-style in 2014, Fox Bros.' pork ribs have achieved barbecue nirvana status. After rub and brown sugar are massaged into the meat, the racks are smoked over hickory wood until the bones are easy to pull apart. Tearing into a spicy, sticky rack is an all-consuming experience that will have you shamelessly sucking your fingers clean in public. You won't be the only one."
80,Meat Entrees,Sorrento Lemon Roast Chicken at Gio's Chicken Amalfitano,"Has eating something ever not been enough? Like, you'd only be truly satisfied if you also could crawl into the bowl and be physically surrounded on all sides by the food? Such is the experience of eating the Sorrento lemon roast chicken at Gio's Chicken Amalfitano. Rubbed with salt and seasoned simply with olive oil, chopped garlic, and wild oregano, the chicken is served in fist-size chunks in a big bowl and garnished with flatbread, potato wedges, and lemon slices. There is also a sauce in this bowl, an insanely aromatic broth emanating with the bright perfume of Sorrento lemons. Dip the rich chicken in it; let the potatoes soak it up ? they're thick enough to handle it ? and leave none behind."
81,Meat Entrees,Steak Frites at Floataway Cafe,"Few dishes in Atlanta are as good, if not better, than they are in their countries of origin, but the version of steak frites at this Quatrano-Harrison joint rivals the pomme frites at any Parisian bistro or brasserie. The wood grill almost quick-smokes the tender hanger steak, rubbed and seasoned with just a hint of sweetness. Picture-perfect, hand-cut French fries are substantial and crispy. Try sopping up the steak's juices with them for an over-the-top mouth smackdown of salt and fat."
82,Desserts and Sweets,Beignets at The Corner Grille,"Inside a century-old corner building that once housed an Episcopal church, the Corner Grille is a laid-back spot to grab brunch, lunch, or dinner in historic College Park. The husband-and-wife owners’ Louisiana roots are proven by the beignets: deceptively thin pillows of chewy, layered yeast-raised pastry covered in a blizzard of powdered sugar. Eat them piping hot with a cup of coffee for the ultimate NOLA-inspired treat."
83,Desserts and Sweets,Cake Shake at Delia's Chicken Sausage Stand,"Ever had the urge to drink a cupcake? Well, someone at Delia's certainly did. Made fresh to order every time, this ultra-thick treat is like the cool girl on the menu: It doesn’t have to try too hard to be admired. Whether you go for the chocolate-chocolate chip, red velvet, or flavor of the week, ingredients are perfectly blended into soft-serve ice cream smooth enough to make you drool. The staff will hand you this rich and creamy guilty-pleasure-in-a-cup, but grab a spoon instead of just a straw. It can be chewed as much as sipped."
84,Desserts and Sweets,Cinnamon Apple Fritter at Revolution Doughnuts,"Revolution Doughnuts’ cinnamon apple fritter triggers memories rooted so deep, it’s as though the flavor combination were written into the human genome. The knotty jumble of cinnamon-laced dough is fried to a deep molasses color and then glazed. The crunchy crust — of which there is plenty, thanks to all the lumps and bumps of dough — surrounds a moist, subtly spiced interior and bits of soft apple. The fritter has a freshness rarely found in such deep-fried, sugarcoated treats. It’s big enough to split. Or not."
85,Desserts and Sweets,Cremolatta Fruit Cup at Lottafrutta,"For a decade, Myrna Perez has been serving up cups of luscious, gem-like fresh fruit at her Old Fourth Ward cafe, LottaFrutta. There are five refreshing variations to choose from. The Cremolatta, overflowing with ruby-red strawberries, succulent grapes, bananas, melon, and papaya, is Perez’s most decadent. Sweet, tart, crisp, chewy; the symphony of fruit flavors and natural sweetness teases the taste buds with variety in every bite. But it’s the addition of fluffy coconut crema, a cloud-like whipped cream made with coconut milk and laced with nutty, slightly smoky Mexican vanilla, that makes this fruity treat destination-worthy."
86,Desserts and Sweets,Cupcakes at The Baker Dude Cafe,"Invented to bypass too much sugary icing on a cupcake by owner Orran Booher, the Baker Dude's version is comparatively small, with a French twist of icing that doesn’t entirely overpower the cake. The dulce de leche is a marvel. Ditto for the German chocolate. You can even buy vegan and Paleo cupcakes here."
87,Desserts and Sweets,Frosted Orange Shake at The Varsity,"The Varsity's iconic frosted orange strikes a perfect compromise between a thick milkshake and a mouth-watering slushie. This sippable orange creamsicle doesn't overwhelm with its sweet and fruity flavors, and is surprisingly subtle for a fast-food joint. So the next time you're asked, ""What'll ya have?"" don't forget to wash down those greasy chili dogs and fries with this bright, creamy frozen treat."
88,Desserts and Sweets,Ginger-Lavender Ice Cream at Morelli's Ice Cream,"At a shop with totally novel flavors, what makes this particular seasonal treat so compelling? Could it be its powerful link between olfaction and taste? It's sweet, custardy-creamy, musty-perfumy, gingery-sharp. It cures depression and anaesthetizes the spine."
89,Desserts and Sweets,Krispy Kreme Original Glazed at Krispy Kreme,"So what if the North Carolina-based Krispy Kreme doesn't originally hail from the ATL? It's been a Ponce de Leon Avenue institution for almost 50 years now. All it takes is the neon glow of that ""Hot Now"" sign to conjure a Pavlovian response from late-night passersby drawn, like moths, to the 24-hour drive-thru window. And the fluffy, melt-in-your-mouth goodness of a warm glazed original still runs circles around the newfangled doughnut competition."
90,Desserts and Sweets,Pineapple Habanero Popsicle at King Of Pops,"There are many pops to love from the King, but none rivals this riot of tropical chill with its slow-burning spicy pepper undertones."
91,Desserts and Sweets,Sunflower at Sarah Donuts,"This beautiful creation conquered all in our 2016 Ultimate Atlanta Doughnut Smackdown for good reason — the combination of cinnamon, sugar, and petal after petal of dough-to-oil surface area creates a texture that regular doughnuts just can’t touch. In fact, Sarah’s sunflower comes dangerously close to being classified as a cinnamon roll, but it’s the gentle bath in hot oil that allows it to bloom into doughnut supremacy."
92,Desserts and Sweets,Supreme Bean Pie at Blue Seas Express & Catering,"You can visit this cafeteria-style restaurant, located in the Bluff, a long-overlooked neighborhood in Atlanta’s Westside, but try to go easy on the tantalizing dishes served on its steam tables and save room for dessert. The highlight here is the Supreme Bean Pie, made from navy beans flavored with cinnamon, nutmeg, and vanilla, which is also sold on street corners in the West End by Nation of Islam members sporting black suits and bow ties, hawking The Final Call. This is a seriously tasty pie: at once rich, sweet, and savory with a crumbly, melt-in-your-mouth crust, it’s a meal in itself!"
93,Cocktails,3rd Coast Drip at Nine Mile Station,"This tantalizingly tasty treat of Treaty Oak Antique Gin, lime, mint, Campari, Yellow Chartreuse, Angostura, orange, and bubbles is a must the next time you are on the roof at Ponce City Market. Newly concocted for this season — the drink alone is worth the one-minute, 15-second elevator ride up — it will certainly put hot fun in your summertime!"
94,Cocktails,Mai Tai at Trader Vic's,"Some say that Victor Jules Bergeron Jr., also known as Trader Vic, invented the Mai Tai. (There's some disagreement about this, but isn't there always a disagreement when cocktails are involved?) He passed away decades ago, but the barkeeps at this hotel chain still make a faithfully bracing version of his enduring concoction of two rums, orange curaçao, lime juice, and orgeat syrup. A big garnish of mint is what you'll notice first, but the rum is what will stay with you."
95,Cocktails,Martini at the Highland Tap,"Hands down the best martini in Atlanta! Comes with a side car, too!"
96,Cocktails,MOSCOW MULE AT  . . . ?,We are still searching. Suggestions now being accepted.
97,Cocktails,Sazerac at Leon's Full Service,"This Sazerac, rightly located on Leon's ""Classics"" cocktail list, is made with high-strength Rittenhouse rye whiskey, Peychaud's bitters, sugar, and Herbsaint Legendre. Sipping this silky-smooth glass of chilled bitters and booze is like taking a trip to New Orleans circa 1850 — where and when the drink is said to have originated."
98,Cocktails,Shochu Yuzu Chu-Hai at Shoya Itzakaya,"While many may define shochu as a Japanese vodka, it is so much more. Usually distilled from rice — though barley and sweet potato are also used — shochu can be had straight, on the rocks, or as a chu-hai (cocktail) when mixed with sparkling fruit flavors. Go with the yuzu (Japanese citrus). Again and again."
99,Cocktails,Spiritual Sangria at Sister Louisa's Church of the Living Room and Ping-Pong Emporium,"Sister Louisa’s spiritual sangria has been crafted with the same expertise as more “spirited” cocktails, but they won’t save your soul! Certainly a driving-force of 16th-century conquistadors, this sangria will have you conquering your fears, for sure."
